creation_id,title,filename,created_at,preset,model,prompts,initial_resolution,runtime,seed,prompt_weight,refiner_weight,start_image_weight,noise_weight,sampling_method,clip_guidance,addon_models,control_net,start_image
u9cm2vKWDl91uXUHOoXz,Table of the hexacostal council,u9cm2vKWDl91uXUHOoXz--1--1vudj.jpg,2023-01-22T22:41:16.324Z,none,dalle2,"weight: 1 ""Elemental pentagram a masterpiece, 8k resolution, dark fantasy concept art, by Greg Rutkowski, dynamic lighting, hyperdetailed, intricately detailed, Splash screen art, trending on Artstation, deep color, Unreal Engine, volumetric lighting, Alphonse Mucha, Jordan Grimmer, purple and yellow complementary colours""",Medium,Short,343040181,None,Off,50%,50%,None,None,None,None,No
hGpj6yeUabXAXpidR4VT,The guardian of the power crystal,hGpj6yeUabXAXpidR4VT--1--jfqjr.jpg,2023-01-22T22:56:52.931Z,none,dalle2,"weight: 1 ""The oath of the power crystal a masterpiece, 8k resolution, dark fantasy concept art, by Greg Rutkowski, dynamic lighting, hyperdetailed, intricately detailed, Splash screen art, trending on Artstation, deep color, Unreal Engine, volumetric lighting, Alphonse Mucha, Jordan Grimmer, purple and yellow complementary colours""",Medium,Short,2673919843,None,Off,50%,50%,None,None,None,None,No
UWfimAJ3pxIuVHWiTEia,The demonic champion,UWfimAJ3pxIuVHWiTEia--1--hshjx.jpg,2023-01-22T23:02:01.263Z,none,dalle2,"weight: 1 ""The power guardian a masterpiece, 8k resolution, dark fantasy concept art, by Greg Rutkowski, dynamic lighting, hyperdetailed, intricately detailed, Splash screen art, trending on Artstation, deep color, Unreal Engine, volumetric lighting, Alphonse Mucha, Jordan Grimmer, purple and yellow complementary colours""",Medium,Short,1898413677,None,Off,50%,50%,None,None,None,None,No
97v6Ge4zHGlWlxfE6t4X,"When deez nuts slap yo face a masterpiece, 8k resolution, dark fantasy concept art, by Greg Rutkowski, dynamic lighting, hyperdetailed, intr...",97v6Ge4zHGlWlxfE6t4X--1--ng6to.jpg,2023-01-22T23:41:33.188Z,none,dalle2,"weight: 1 ""When deez nuts slap yo face a masterpiece, 8k resolution, dark fantasy concept art, by Greg Rutkowski, dynamic lighting, hyperdetailed, intricately detailed, Splash screen art, trending on Artstation, deep color, Unreal Engine, volumetric lighting, Alphonse Mucha, Jordan Grimmer, purple and yellow complementary colours""",Medium,Short,1639237609,None,Off,50%,50%,None,None,None,None,No
xBPbYkDhO8kUwo9wPm4s,The demons lair,xBPbYkDhO8kUwo9wPm4s--1--dumyj.jpg,2023-01-22T23:44:34.756Z,none,dalle2,"weight: 1 ""The demons lair a masterpiece, 8k resolution, dark fantasy concept art, by Greg Rutkowski, dynamic lighting, hyperdetailed, intricately detailed, Splash screen art, trending on Artstation, deep color, Unreal Engine, volumetric lighting, Alphonse Mucha, Jordan Grimmer, purple and yellow complementary colours""",Medium,Short,2386687987,None,Off,50%,50%,None,None,None,None,No
Nb2SF9eEwBBs2rJPaSjU,What do we see when we die,Nb2SF9eEwBBs2rJPaSjU--1--8je3h.jpg,2023-01-23T00:01:56.194Z,none,dalle2,"weight: 1 ""What do we see when we die Epic cinematic brilliant stunning intricate meticulously detailed dramatic atmospheric maximalist digital matte painting""",Medium,Short,1426195890,None,Off,50%,50%,None,None,None,None,No
DQX68hlbOMxzn0GRvqj5,Post-apocalyptic wasteland,DQX68hlbOMxzn0GRvqj5--1--h5v81.jpg,2023-01-23T18:31:06.415Z,none,dalle2,"weight: 1 ""Post-apocalyptic Horrorland a masterpiece, 8k resolution, dark fantasy concept art, by Greg Rutkowski, dynamic lighting, hyperdetailed, intricately detailed, Splash screen art, trending on Artstation, deep color, Unreal Engine, volumetric lighting, Alphonse Mucha, Jordan Grimmer, purple and yellow complementary colours""",Medium,Short,1963381364,None,Off,50%,50%,None,None,None,None,No
1wmLCerd3I6XVU9Jq5GT,candy rainbow,1wmLCerd3I6XVU9Jq5GT--1--1sung.jpg,2023-01-23T20:30:42.569Z,none,dalle2,"weight: 1 ""Rainbow gas station explosion vibrant colors Candyland wonderland gouache swirls detailed""",Medium,Short,868029355,None,Off,50%,50%,None,None,None,None,No
3hUCTylDcFqO6vjozU90,"Pentagram a masterpiece, 8k resolution, dark fantasy concept art, by Greg Rutkowski, dynamic lighting, hyperdetailed, intricately detailed,...",3hUCTylDcFqO6vjozU90--1--wwvxt.jpg,2023-01-23T20:34:32.180Z,none,dalle2,"weight: 1 ""Pentagram a masterpiece, 8k resolution, dark fantasy concept art, by Greg Rutkowski, dynamic lighting, hyperdetailed, intricately detailed, Splash screen art, trending on Artstation, deep color, Unreal Engine, volumetric lighting, Alphonse Mucha, Jordan Grimmer, purple and yellow complementary colours""",Medium,Short,3334464665,None,Off,50%,50%,None,None,None,None,No
gX0aCpRvGNTezEc5dtW4,Lair of the witch,gX0aCpRvGNTezEc5dtW4--grid.jpg,2023-01-23T20:35:47.959Z,none,stable-diffusion-v1-5,"weight: 1 ""Pentagram a masterpiece, 8k resolution, dark fantasy concept art, by Greg Rutkowski, dynamic lighting, hyperdetailed, intricately detailed, Splash screen art, trending on Artstation, deep color, Unreal Engine, volumetric lighting, Alphonse Mucha, Jordan Grimmer, purple and yellow complementary colours""",Low,Short,402521128,50%,Off,50%,50%,K_LMS,None,None,None,No
e9sE3YmbbRxX5kWpPUPK,"Witch of the pentagram a masterpiece, 8k resolution, dark fantasy concept art, by Greg Rutkowski, dynamic lighting, hyperdetailed, intricate...",e9sE3YmbbRxX5kWpPUPK--1--6xc2o.jpg,2023-01-23T20:37:37.068Z,none,dalle2,"weight: 1 ""Witch of the pentagram a masterpiece, 8k resolution, dark fantasy concept art, by Greg Rutkowski, dynamic lighting, hyperdetailed, intricately detailed, Splash screen art, trending on Artstation, deep color, Unreal Engine, volumetric lighting, Alphonse Mucha, Jordan Grimmer, purple and yellow complementary colours""",Medium,Short,1300029957,None,Off,50%,50%,None,None,None,None,No
IweBb8yGOhdTN0eQ3FZi,ancient table of the hexacostal council,IweBb8yGOhdTN0eQ3FZi--1--i48z7.jpg,2023-01-23T20:40:15.362Z,none,dalle2,"weight: 1 ""Table of the hexacostal council a masterpiece, 8k resolution, dark fantasy concept art, by Greg Rutkowski, dynamic lighting, hyperdetailed, intricately detailed, Splash screen art, trending on Artstation, deep color, Unreal Engine, volumetric lighting, Alphonse Mucha, Jordan Grimmer, purple and yellow complementary colours""",Medium,Short,2857582922,None,Off,50%,50%,None,None,None,None,No
